nombre,genero,anio_nacimiento,anio_muerte,ocupacion,ciudadania,numero_lectores
Ingrid Betancourt,Female,1961,0,politician,Colombia - France,1470290
Heriberto Correa Yepes,Male,1916,2010,prelate,Colombia,1179
Rigoberto Corredor Bermudez,Male,1948,0,priest,Colombia,2053
Joseph Akl,Male,1936,0,judge,Colombia - Switzerland,1260
Marina Salas,Female,1988,0,actor,Spain - Colombia,540720
Edson Calderon,Male,1984,0,sport,Colombia,671
Javier Gomez (cyclist),Male,1991,0,sport,Colombia,3024
Gloria Castro,Female,0,0,ballet,Colombia,4088
Melissa Ortiz,Female,1990,0,football,Colombia - US,9768
Gonzalo Arango,Male,1931,1976,poet,Colombia,189031
Gonzalo de Jesus Rivera Gomez,Male,1933,2019,priest,Colombia,1972
Nohra Padilla,Female,0,0,environmentalist,Colombia,2654
Sebastian Rincon,Male,1994,0,football,Colombia,86416
Zuleika Suarez,Female,1994,0,model,Colombia,14523
Carlos Alberto Correa Martinez,Male,1968,0,priest,Colombia,1916
Joselito Carreno Quinonez,Male,1966,0,priest,Colombia,337
Luis Fernando Rizo-Salom,Male,1971,2013,composer,Colombia - France,4047
Medardo de Jesus Henao del Rio,Male,1967,0,priest,Colombia,472
Fortunato Pereira Gamba,Male,1866,1936,academic,Colombia,622
Antonio Cacua Prada,Male,1932,0,historian,Colombia,2352
Carolina Soto Losada,Female,0,0,politician,Colombia,8278
Felipe Hernandez (architect),Male,1971,0,architect,Colombia,6428
Miguel Jimenez Lopez,Male,1875,1955,academic,Colombia,360
Juan Alvarez (writer),Male,1978,0,novelist,Colombia,1939
Luis Villar Borda,Male,1929,2008,diplomat,Colombia,8580
Carlos Eduardo Lozano Tovar,Male,1930,0,politician,Colombia,1038
John Devereux,Male,1778,1860,unknown,Colombia,449
Ignacio Sanchez de Tejada,Male,1764,1837,vizek�nig,Colombia,390
Fernando Lorenzana,Male,1808,1892,diplomat,Colombia - US,604
Gregorio Garavito Jimenez,Male,1919,2016,priest,Colombia,18785
Cristian Rodriguez (tennis),Male,1990,0,player,Colombia,5976
Alexander Gonzalez (cyclist),Male,1979,0,sport,Colombia,1659
Jose Consuegra Higgins,Male,1924,2013,economist,Colombia,9664
Jose Figueroa Gomez,Male,1946,0,priest,Colombia,449
John Parra,Male,1974,0,sport,Colombia,2792
Guillermo Orozco Montoya,Male,1946,0,priest,Colombia,1803
Guillermo Wiedemann,Male,1905,1969,painter,Colombia - Germany,12209
Gustavo Giron Higuita,Male,1940,0,priest,Colombia,614
Gustavo Isaza Mejia,Male,0,2007,ecologist,Colombia,1225
Gustavo Parra Arevalo,Male,1963,0,composer,Colombia,628
Gustavo Alvarez Gardeazabal,Male,1945,0,writer,Colombia,108650
Jonathan Paredes (cyclist),Male,1989,0,sport,Colombia,3891
Luz Stella Luengas,Female,1962,0,actor,Colombia,48814
Estefano Arango,Male,1994,0,football,Colombia,26263
Ana Maria Abello,Female,1979,0,actor,Colombia,34885
Majida Issa,Female,1981,0,actor,Colombia,1175106
Margarita Vargas,Female,1960,0,singer,Colombia - Mexico,161343
Sara Corrales,Female,1982,0,actor,Colombia,644021
Jose Huber Escobar,Male,1987,0,football,Colombia,2784
Xilena Aycardi,Female,1969,0,actor,Colombia,76317
Aurelio Valcarcel Carroll,Male,0,0,producer,Colombia,19487
Gregorio Pernia,Male,1970,0,actor,Colombia,602683
Silvia de Dios,Female,1966,0,actor,Colombia,73397
Paula Barreto,Female,1979,0,actor,Colombia,153974
Carina Cruz,Female,1983,0,designer,Colombia,70798
Felipe Gonzalez,Male,1942,0,politician,Spain - Colombia,1492399
Harry German Castillo Vallejo,Male,1974,0,football,Colombia,2136
Pedro Herrera,Male,1986,0,sport,Colombia,1011
Andrea Gomez,Female,1980,0,actor,Colombia,129043
Oscar Murillo (artist),Male,1986,0,artist,Colombia,39545
Patricia Nieto Nieto,Female,1968,0,journalist,Colombia,6062
Monica Agudelo,Female,1956,2012,writer,Colombia,165146
Juan Carlos Guzman-Betancourt,Male,1976,0,criminal,Colombia,43901
Joel Quinto,Male,1990,0,football,Colombia,616
Ismael Rueda Sierra,Male,1950,0,priest,Colombia,3008
Marina Chapman,Female,1950,0,capuchin,Colombia,357057
Hugo Galeano,Male,1964,0,football,Colombia,3191
Yair Ibarguen,Male,1993,0,football,Colombia,5644
Maria Fernanda Herazo,Female,1997,0,player,Colombia,8051
Alfonso Zambrano Payan,Male,1915,1991,sculptor,Colombia,904
Freddy Piamonte,Male,1982,0,sport,Colombia,259
